101577294RR0001,41547,4,1,2,1,,,,,,,13,150576,345062
101580918RR0001,41364,19,4,6,,,,,,,,10,69190,795240
101589380RR0001,41639,1,,1,,,,,,,,1,5200,56522
101589455RR0001,41639,,,,,,,,,,,,,
101589489RR0001,41639,1,1,,,,,,,,,,,26243
101630010RR0001,41639,,,,,,,,,,,24,74646,74646
101630812RR0001,41517,17,1,9,,,,,,,,37,236672,966963
101630820RR0001,41364,24,,3,3,3,1,,,,,22,,2407255
101633485RR0001,41455,12,1,9,,,,,,,,,,565016
101633501RR0001,41455,8,7,1,,,,,,,,,,301135
101644110RR0001,41425,,,,,,,,,,,13,23326,33028
101645612RR0001,41364,3,4,1,,,,,,,,2,133515,
101663995RR0001,41639,11,8,2,,,,,,,,9,,533735
101676864RR0001,41455,2,1,1,,,,,,,,7,1225,89394
101678969RR0001,41364,24,,8,2,,,,,,,8,98955,1433450
101688448RR0001,41364,,,,,,,,,,,,,
101690436RR0001,41639,37,,9,1,,,,,,,56,836433,2566675
101694578RR0001,41639,,,,,,,,,,,,,
101717445RR0001,41364,9,7,5,1,,,,,,,8,7833,651346
101731693RR0001,41639,1,,,,,,,,,,,,28563
101736742RR0001,41364,14,6,4,,,,,,,,12,86445,864912
101737401RR0001,41639,26,,,,,,,,,,10,90605,1138658
101747103RR0001,41639,,,,,,,,,,,,,
101755783RR0001,41639,,,,,,,,,,,,,
101756344RR0002,41639,,,,,,,,,,,,,
101756351RR0001,41364,,,,,,,,,,,,,
101758282RR0001,41455,5,4,1,,,,,,,,1,41409,288384
101787554RR0001,41547,10,3,6,1,,,,,,,94,204239,923850
101808145RR0001,41364,48,,9,,1,,,,,,11,98504,2389492
101816197RR0001,41547,,,,,,,,,,,,,
101835007RR0001,41394,5,1,2,1,1,,,,,,,,440584
101835031RR0001,41578,,,,,,,,,,,,,
101835148RR0001,41455,,,,,,,,,,,,,
101835155RR0001,41639,1,,,,,1,,,,,,,170805
101835163RR0001,41639,4,3,1,,,,,,,,,,216703
101835171RR0001,41364,2,1,1,,,,,,,,1,6272,84357
101835221RR0001,41608,,,,,,,,,,,,,
101835247RR0001,41364,4,2,1,1,,,,,,,2,2234,231358
101835338RR0001,41639,,,,,,,,,,,,,
101835361RR0001,41455,,,,,,,,,,,,,
101835395RR0001,41517,,,,,,,,,,,,,
101835445RR0001,41639,5,3,2,,,,,,,,10,13919,279510
101835460RR0001,41364,2,1,1,,,,,,,,,,63473
101835486RR0001,41639,,,,,,,,,,,,,
101835502RR0001,41394,7,2,2,3,,,,,,,21,48247,648982
